match_id,date,venue,Team_1_Batting_First,Team_2_Batting_Second,Score_1,Score_2,Wickets_1,Wickets_2,winner
202552,2025-05-03,"M.Chinnaswamy Stadium, Bengaluru",RCB,CSK,213.0,211.0,5.0,5.0,RCB
202553,2025-05-04,"Eden Gardens, Kolkata",KKR,RR,204.0,205.0,4.0,8.0,RR
202554,2025-05-04,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,LSG,236.0,199.0,5.0,7.0,PBKS
202555,2025-05-05,"Rajiv Gandhi International Stadium, Hyderabad",DC,,133.0,,7.0,,Unknown
202556,2025-05-06,"Wankhede Stadium, Mumbai",MI,GT,155.0,145.0,8.0,7.0,MI
202557,2025-05-07,"Eden Gardens, Kolkata",KKR,CSK,179.0,183.0,6.0,8.0,CSK
202558,2025-05-08,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,,122.0,,1.0,,Unknown
202559,2025-05-18,"Sawai Mansingh Stadium, Jaipur",PBKS,RR,218.0,209.0,5.0,7.0,PBKS
202560,2025-05-18,"Arun Jaitley Stadium, Delhi",DC,GT,199.0,205.0,3.0,0.0,GT
202561,2025-05-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,SRH,204.0,207.0,7.0,5.0,SRH
202562,2025-05-20,"Arun Jaitley Stadium, Delhi",CSK,RR,186.0,188.0,8.0,4.0,RR
202563,2025-05-21,"Wankhede Stadium, Mumbai",MI,DC,180.0,121.0,5.0,10.0,MI
202564,2025-05-22,"Narendra Modi Stadium, Ahmedabad",LSG,GT,235.0,202.0,2.0,9.0,LSG
202565,2025-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SRH,RCB,231.0,189.0,6.0,10.0,SRH
202566,2025-05-24,"Sawai Mansingh Stadium, Jaipur",PBKS,DC,206.0,208.0,8.0,4.0,DC
202567,2025-05-25,"Narendra Modi Stadium, Ahmedabad",CSK,GT,230.0,147.0,5.0,10.0,CSK
202568,2025-05-25,"Arun Jaitley Stadium, Delhi",SRH,KKR,277.0,168.0,3.0,10.0,SRH
202569,2025-05-26,"Sawai Mansingh Stadium, Jaipur",MI,PBKS,183.0,187.0,7.0,3.0,PBKS
202570,2025-05-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,RCB,227.0,230.0,3.0,4.0,RCB
202571,2025-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",PBKS,RCB,101.0,106.0,10.0,2.0,RCB
202572,2025-05-30,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,GT,227.0,208.0,5.0,6.0,MI
202573,2025-06-01,"Narendra Modi Stadium, Ahmedabad",MI,PBKS,203.0,207.0,6.0,5.0,PBKS
202574,2025-06-03,"Narendra Modi Stadium, Ahmedabad",RCB,PBKS,190.0,184.0,9.0,7.0,RCB
